source,relation,target
http://example.org/maize-kg#Tobacco_Caterpillar,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/maize-kg#Hama
http://example.org/maize-kg#Sugarcane_Pyrilla,http://example.org/maize-kg#dikendalikanDengan,http://example.org/maize-kg#parasitoid_telur
http://example.org/maize-kg#Maize_Bushy_Stunt_Phytoplasma,http://example.org/maize-kg#dikendalikanDengan,http://example.org/maize-kg#cabut_tanaman_terinfeksi
http://example.org/maize-kg#serangga,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/maize-kg#Patogen
http://example.org/maize-kg#Downy_Mildew_of_Maize,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/maize-kg#PenyakitJamur
http://example.org/maize-kg#Damping-Off_of_Seedlings,http://example.org/maize-kg#memilikiGejala,http://example.org/maize-kg#klorosis
http://example.org/maize-kg#Sooty_Mold,http://example.org/maize-kg#menyerangBagian,http://example.org/maize-kg#daun
http://example.org/maize-kg#Damping-Off_of_Seedlings,http://example.org/maize-kg#rekomendasiPengendalian,http://example.org/maize-kg#fungisida_copper
http://example.org/maize-kg#wereng,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/maize-kg#Vektor
http://example.org/maize-kg#Spotted_Stemborer,http://example.org/maize-kg#rekomendasiPengendalian,http://example.org/maize-kg#cabut_tanaman_terinfeksi
http://example.org/maize-kg#bunga,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/maize-kg#BagianTanaman
http://example.org/maize-kg#bakteri,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/maize-kg#Patogen
http://example.org/maize-kg#Spotted_Stemborer,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/maize-kg#Hama
http://example.org/maize-kg#Foot_and_Collar_Rot,http://example.org/maize-kg#memilikiGejala,http://example.org/maize-kg#nekrosis
http://example.org/maize-kg#Foot_and_Collar_Rot,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/maize-kg#Penyakit
http://example.org/maize-kg#Maize_Chlorotic_Mottle_Virus,http://example.org/maize-kg#dipengaruhiOleh,http://example.org/maize-kg#kelembaban_tinggi
http://example.org/maize-kg#Stunt_of_Maize,http://example.org/maize-kg#dikendalikanDengan,http://example.org/maize-kg#jamur_metarhizium
http://example.org/maize-kg#Helicoverpa_Caterpillar,http://example.org/maize-kg#dikendalikanDengan,http://example.org/maize-kg#neem_oil
http://example.org/maize-kg#Foot_and_Collar_Rot,http://example.org/maize-kg#menyerangBagian,http://example.org/maize-kg#akar
http://example.org/maize-kg#Stalk_Rot_of_Maize,http://example.org/maize-kg#memilikiGejala,http://example.org/maize-kg#bercak
http://example.org/maize-kg#Maize_Bushy_Stunt_Phytoplasma,http://example.org/maize-kg#dicegahDengan,http://example.org/maize-kg#eradikasi_tanaman_sakit
http://example.org/maize-kg#Termites,http://example.org/maize-kg#dikendalikanDengan,http://example.org/maize-kg#chlorpyrifos
http://example.org/maize-kg#Maize_Smut,http://example.org/maize-kg#dipengaruhiOleh,http://example.org/maize-kg#kelembaban_tinggi
http://example.org/maize-kg#Damping-Off_of_Seedlings,http://example.org/maize-kg#disebabkanOleh,http://example.org/maize-kg#jamur
