id,nama,namaIlmiah,jenis,bagianTanaman,gejala,penyebabUtama,jenisPatogen,vektor,faktorLingkungan,pencegahan,pengendalianBiologis,pengendalianKimia,pengendalianMekanis
1,Flower Chafer,Oxycetonia versicolor,Hama,bunga|pucuk,kerusakan|penurunan_hasil,kumbang_flower_chafer,serangga,,,monitoring_rutin|rotasi_tanaman,,,
2,Boron Deficiency,Boron Deficiency,DefisiensiUnsur,daun|batang|akar|pucuk,klorosis|nekrosis|daun_rapuh|batang_rapuh|daun_mengkerut,defisiensi_boron,defisiensi,,pH_tinggi|tanah_berpasir|bahan_organik_rendah,tes_tanah_rutin|hindari_pH_tinggi,pupuk_kandang,boron_foliar,
3,Maize Chlorotic Mottle Virus,MCMV,Penyakit,daun|bunga_jantan|tongkol,bercak|klorosis|nekrosis|tanaman_kerdil|deformasi,virus_mcmv,virus,wereng|kumbang|tungau|thrips,suhu_tinggi|kelembaban_tinggi,varietas_tahan|monitoring_rutin|eradikasi_tanaman_sakit|rotasi_tanaman,,insektisida_vektor,cabut_tanaman_terinfeksi
4,Bagrada Bug,Bagrada hilaris,Hama,daun|batang|bunga|pucuk,bercak|klorosis|layu|nekrosis,bagrada_bug,serangga,,suhu_tinggi|kelembaban_rendah,monitoring_rutin|sanitasi_lahan,parasitoid_telur,imidacloprid|pyrethroid,
5,Spotted Stemborer,Chilo partellus,Hama,daun|batang,kerusakan|nekrosis|tanaman_kerdil|busuk,chilo_partellus,serangga,,suhu_tinggi|kelembaban_tinggi,varietas_tahan|monitoring_rutin|rotasi_tanaman,bacillus_thuringiensis|tawon_parasitoid,deltamethrin,cabut_tanaman_terinfeksi
6,Cucumber Beetle,Diabrotica spp.,Hama,daun|bunga|akar|batang,kerusakan|layu|busuk,diabrotica,serangga,diabrotica,suhu_tinggi|kelembaban_tinggi,rotasi_tanaman,nematoda|jamur_beauveria,acetamiprid|pyrethroid,perangkap
7,Iron Deficiency,Iron Deficiency,DefisiensiUnsur,daun,klorosis|nekrosis|tanaman_kerdil,defisiensi_zat_besi,defisiensi,,pH_tinggi|drainase_buruk|suhu_rendah,hindari_pH_tinggi|drainase_baik,pupuk_kandang|kompos,ferrous_sulphate,
8,Downy Mildew of Maize,Peronosclerospora sorghi,Penyakit,daun|batang|bunga_jantan,busuk|tanaman_kerdil|deformasi,peronosclerospora_sorghi,jamur,,,varietas_tahan|sanitasi_lahan|rotasi_tanaman,,metalaxyl|mancozeb,cabut_tanaman_terinfeksi
9,Maize Bushy Stunt Phytoplasma,Phytoplasma asteris,Penyakit,daun|batang|bunga_jantan|tongkol,klorosis|tanaman_kerdil|deformasi,phytoplasma_asteris,bakteri,wereng,suhu_tinggi,varietas_tahan|monitoring_rutin|eradikasi_tanaman_sakit,jamur_metarhizium|jamur_beauveria,insektisida_vektor,cabut_tanaman_terinfeksi
10,Tobacco Caterpillar,Spodoptera litura,Hama,daun|bunga|akar,kerusakan|gugur_daun,spodoptera_litura,serangga,,suhu_tinggi,varietas_tahan|monitoring_rutin,bacillus_thuringiensis|npv|neem_oil,chlorpyrifos,pengumpulan_manual|perangkap
11,Sooty Mold,Pezizomycotina,Penyakit,daun,busuk|gugur_daun,pezizomycotina,jamur,kutu_daun|wereng,kelembaban_tinggi,jarak_tanam_optimal,,neem_oil|insektisida_organophosphate,
12,Fruit Molds,Aspergillus spp.,Penyakit,tongkol|biji,busuk|bercak,aspergillus,jamur,,suhu_tinggi|kelembaban_tinggi,penyiraman_tepat,,chlorothalonil|fungisida_copper,
13,Nitrogen Deficiency,Nitrogen Deficiency,DefisiensiUnsur,daun,klorosis|layu|tanaman_kerdil,defisiensi_nitrogen,defisiensi,,tanah_berpasir|kelembaban_tinggi,tes_tanah_rutin|drainase_baik,pupuk_kandang|kompos,urea|ammonium_nitrate,
14,Maize Smut,Ustilago maydis,Penyakit,daun|batang|tongkol,busuk|tanaman_kerdil|deformasi,ustilago_maydis,jamur,,kelembaban_tinggi,varietas_tahan|monitoring_rutin|sanitasi_lahan,,,cabut_tanaman_terinfeksi
15,Fall Armyworm,Spodoptera frugiperda,Hama,daun|pucuk|tongkol|biji,kerusakan|gugur_daun,spodoptera_frugiperda,serangga,,suhu_tinggi|kelembaban_tinggi,varietas_tahan|monitoring_rutin,bacillus_thuringiensis|neem_oil|tawon_parasitoid,chlorpyrifos,perangkap|pengumpulan_manual
16,Stunt of Maize,Spiroplasma kunkelii,Penyakit,daun|batang|tongkol,layu|klorosis|bercak|tanaman_kerdil|deformasi,spiroplasma_kunkelii,bakteri,wereng,suhu_tinggi,varietas_tahan|monitoring_rutin|rotasi_tanaman,jamur_metarhizium|jamur_beauveria,,
17,Termites,Termitidae,Hama,akar|batang,layu|kerusakan|busuk,termites,serangga,,,monitoring_rutin|sanitasi_lahan,nematoda|jamur_beauveria|neem_oil,chlorpyrifos|deltamethrin|imidacloprid,
18,Brown Stink Bug,Euschistus servus,Hama,tongkol|biji,kerusakan|bercak|busuk,euschistus_servus,serangga,,suhu_tinggi,monitoring_rutin,tawon_parasitoid,pyrethroid,
19,Sugarcane Pyrilla,Pyrilla perpusilla,Hama,daun,klorosis|nekrosis|tanaman_kerdil|penurunan_hasil,pyrilla_perpusilla,serangga,,kelembaban_tinggi,monitoring_rutin|sanitasi_lahan,parasitoid_telur,chlorpyrifos,
20,Shoot Flies,Atherigona sp.,Hama,daun|pucuk|batang,kerusakan|klorosis|layu|tanaman_kerdil|nekrosis,atherigona,serangga,,,varietas_tahan|sanitasi_lahan|rotasi_tanaman,,pyrethroid,
21,Foot and Collar Rot,Athelia rolfsii,Penyakit,batang|akar|daun,busuk|layu|klorosis|nekrosis,athelia_rolfsii,jamur,,pH_rendah|suhu_tinggi|kelembaban_tinggi,varietas_tahan|drainase_baik|sanitasi_lahan,trichoderma|bacillus_subtilis,metam_sodium,cabut_tanaman_terinfeksi
22,Maize Lethal Necrosis Disease,MLND,Penyakit,daun|batang|tongkol,klorosis|nekrosis|tanaman_kerdil|deformasi|busuk,virus_mlnd,virus,thrips|kumbang,,varietas_tahan|monitoring_rutin|eradikasi_tanaman_sakit|rotasi_tanaman,,insektisida_vektor,cabut_tanaman_terinfeksi
23,Leaf Spot of Maize,Cochliobolus lunatus,Penyakit,daun|biji,bercak|klorosis|nekrosis|busuk,cochliobolus_lunatus,jamur,,suhu_tinggi|kelembaban_tinggi,varietas_tahan|sanitasi_lahan,,mancozeb|chlorothalonil,
24,Spotted Maize Beetle,Astylus atromaculatus,Hama,bunga|biji,kerusakan,astylus_atromaculatus,serangga,,suhu_tinggi,rotasi_tanaman,,,perangkap
25,Stalk Rot of Maize,Gibberella fujikuroi,Penyakit,batang|daun|biji|tongkol,busuk|tanaman_kerdil|klorosis|nekrosis|bercak,gibberella_fujikuroi,jamur,,suhu_tinggi|kelembaban_tinggi,varietas_tahan|rotasi_tanaman,trichoderma|pseudomonas|neem_oil,mancozeb|carbendazim,cabut_tanaman_terinfeksi
26,Northern Leaf Spot of Maize,Cochliobolus carbonum,Penyakit,daun|tongkol,bercak|busuk,cochliobolus_carbonum,jamur,,kelembaban_tinggi,varietas_tahan|rotasi_tanaman,,mancozeb,
27,Zinc Deficiency,Zinc Deficiency,DefisiensiUnsur,daun,klorosis|nekrosis|tanaman_kerdil|deformasi,defisiensi_zinc,defisiensi,,pH_tinggi|tanah_berpasir,tes_tanah_rutin|hindari_pH_tinggi,pupuk_kandang,zinc_sulfate,
28,Damping-Off of Seedlings,Pythium spp.,Penyakit,batang|akar|biji,busuk|layu|klorosis|nekrosis,pythium,jamur,,kelembaban_tinggi|suhu_tinggi,varietas_tahan|drainase_baik,trichoderma|bacillus_subtilis|pseudomonas,metalaxyl|fungisida_copper,
29,Lesser Stalk Borer of Maize,Elasmopalpus lignosellus,Hama,batang|daun,kerusakan|layu|tanaman_kerdil|nekrosis,elasmopalpus_lignosellus,serangga,,suhu_tinggi,monitoring_rutin,tawon_parasitoid|bacillus_thuringiensis|jamur_beauveria,chlorpyrifos,perangkap
30,Helicoverpa Caterpillar,Helicoverpa armigera,Hama,daun|bunga|tongkol|pucuk,kerusakan|busuk,helicoverpa_armigera,serangga,,,varietas_tahan|monitoring_rutin,tawon_parasitoid|bacillus_thuringiensis|neem_oil,chlorpyrifos,pengumpulan_manual|perangkap
