uri,embedding
http://example.org/maize-kg#Pengendalian,"[-0.5544212, -0.022644993, 0.29084572, 0.18020833, -0.18396802, 0.19042456, -0.19344655, 0.2575426, -0.29863107, -0.73489356, 0.24467081, 0.074950516, -0.03730405, -0.3024281, 0.21819496, 0.09450926, 0.021819951, 0.3929418, 0.119695574, -0.05149756, 0.10737775, 0.26024967, -0.02651884, -0.11574484, 0.06348351, 0.11797018, -0.31114823, -0.03065408, -0.2173369, 0.058351003, -0.06277187, -0.15437913, 0.37383822, -0.12921761, -0.365576, 0.0993078, 0.35850343, -0.15863807, -0.091408156, -0.21958879, -0.24729279, -0.03391832, 0.09164961, -0.03690777, 0.120183796, -0.063311316, 0.0067687295, 0.10406001, 0.059589863, -0.08321478, -0.079970166, -0.07207805, -0.046745777, -0.11019788, 0.054412194, -0.052680176, 0.28879315, -0.15070614, -0.1873018, 0.42595533, -0.23498552, -0.12816739, -0.27684456, -0.2929438]"
http://example.org/maize-kg#MasalahTanaman,"[0.15475732, -0.09672057, 0.22641164, -0.05352807, -0.048214376, -0.12302732, 0.16389626, 0.016944068, 0.13309109, -0.19104344, 0.20648417, -0.29779252, -0.0646965, -0.020721404, 0.089211784, 0.0014511915, 0.107604325, 0.19705385, 0.009852152, 0.037218217, 0.17937236, 0.2464995, 0.003556324, -0.4620592, 0.05887136, 0.071745194, -0.18342736, -0.12326156, 0.09185852, 0.14162214, 0.15619531, -0.05323268, -0.12999423, -0.35799628, -0.33883205, -0.13863261, 0.22821704, -0.11322138, -0.024344541, -0.021041092, -0.16451764, -0.1787231, 0.14383654, -0.13241829, -0.076073505, -0.23534508, 0.12599383, -0.25400063, -0.0015609632, 0.11768366, 0.41675773, -0.12546512, -0.062204473, 0.25035828, 0.10775032, -0.019263694, 0.33314484, 0.21397848, -0.08603073, -0.09995305, -0.037452944, -0.0387343, 0.11223602, -0.020241505]"
http://example.org/maize-kg#Jagung,"[0.2595704, -0.055684283, 0.2397483, 0.24860433, -0.012134788, -0.039086185, -0.028868012, 0.0025018107, -0.13959406, 0.06361302, 0.16257396, -0.19717942, 0.038107917, -0.23930793, -0.09640804, 0.15576248, 0.095637724, -0.017233968, 0.07119854, -0.12031202, 0.30500942, 0.023345662, 0.09516195, -0.2957824, -0.016499074, -0.007892414, -0.17357479, -0.08316047, -0.065126196, -0.020916756, 0.043473985, -0.062012248, -0.06632519, -0.13178116, -0.124606065, -0.3754012, 0.14235851, -0.14007236, 0.32074857, 0.1580531, -0.12732, -0.36104593, 0.12284475, -0.08998503, 0.1547293, -0.22591083, 0.031323187, -0.14739962, -0.01027119, 0.30682245, -0.22561723, -0.10624053, -0.057222456, 0.17552312, 0.11830551, -0.069783725, 0.1667627, -0.09473535, -0.20287952, -0.02273498, 0.059125323, 0.08251158, -0.033183455, 0.089246675]"
http://example.org/maize-kg#Maize_Chlorotic_Mottle_Virus,"[0.30311328, -0.08416448, 0.13693513, 0.006886369, -0.21212512, -0.1183586, 0.04977627, -0.25639358, -0.35178703, -0.10168085, -0.27780733, -0.14473203, 0.00018152074, 0.26976275, -0.14722471, 0.23656335, -0.10096698, 0.08542095, -0.31544337, -0.05271086, 0.07817152, 0.14773305, 0.09809362, -0.08754411, -0.34193784, 0.49103716, -0.3962144, -0.047920227, -0.09226504, 0.1918025, 0.24670649, -0.017707815, -0.1096208, 0.17782015, -0.37673157, -0.26516214, 0.07180674, 0.4657922, 0.13196447, 0.17683738, -0.23828997, -0.28991905, 0.034268077, 0.02144419, 0.0590858, 0.1955439, 0.13330133, -0.21820143, -0.03881021, 0.039354842, 0.004861353, -0.15609616, -0.13187516, 0.16679373, -0.36820346, 0.08402938, 0.19117412, -0.28836176, -0.036158435, 0.15706721, 0.25817916, 0.0052633244, -0.35629272, -0.14015381]"
http://example.org/maize-kg#daun,"[-0.008509467, -0.2013676, 0.24274647, -0.06806957, 0.082308024, -0.14422125, 0.24648057, 0.067675695, -0.27713904, 0.07251591, 0.019801127, -0.34611177, -0.15969169, -0.06095984, -0.043519787, -0.047790453, 0.0011916104, 0.14002584, 0.016548188, 0.08022225, 0.15707032, -0.016877519, 0.18371314, -0.21344957, -0.06829001, 0.052037105, -0.25820237, -0.08045831, 0.12635793, 0.14883158, 0.12269258, 0.08614158, 0.047925904, -0.12566923, -0.09444552, -0.098294444, 0.2761867, -0.041284755, 0.12839893, 0.24917331, -0.027053585, -0.33084133, 0.17466475, -0.24605747, 0.16493174, -0.23261958, 0.09099357, 0.099129744, 0.045514885, -0.027436653, -4.126029e-05, -0.043108817, 0.19472964, -0.107770815, 0.07102879, 0.010665101, 0.14175093, 0.09495026, -0.02674262, 0.036385532, 0.16587622, -0.085621715, -0.10260752, -0.03911577]"
http://example.org/maize-kg#Stalk_Rot_of_Maize,"[-0.05807067, -0.2057267, 0.045679968, 0.030150563, -0.13740148, 0.082416065, 0.056411926, 0.14457513, -0.18668018, 0.057775646, 0.32616678, -0.2842133, -0.15965539, -0.012202432, 0.30691057, 0.4601587, 0.14843619, 0.17586514, -0.20057066, 0.45753673, 0.45492443, 0.065370075, 0.053931847, 0.02946672, -0.111756094, 0.34967083, 0.06430341, 0.19461872, -0.14365028, -0.17353542, 0.07313963, 0.0010677027, 0.036619857, -0.25039417, 0.15788557, -0.10026439, -0.08288743, 0.2120402, 0.058421277, 0.06849269, -0.188706, -0.106490426, 0.054447893, -0.1967551, 0.20463988, -0.07487804, -0.06666811, -0.04162182, -0.22710998, 0.008994855, 0.16970864, -0.18180475, 0.20964333, 0.15227675, -0.11401416, 0.13706543, -0.105618134, -0.22033297, -0.31106055, 0.31805608, -0.110159166, -0.044345602, -0.19614309, 0.19154808]"
http://example.org/maize-kg#PengendalianKimia,"[-0.2217747, -0.061933126, 0.65263504, 0.13437407, -0.09788911, 0.32888567, -0.4957659, 0.34837475, -0.4236623, -0.41821334, 0.24365072, 0.045518525, -0.1564223, -0.17440593, 0.107022025, 0.2706504, 0.008133612, 0.5338871, 0.31328148, -0.027970623, 0.23743474, 0.15871565, 0.008223546, -0.14717673, -0.11347291, 0.036193613, 0.00434862, 0.2196241, -0.31428263, 0.12591857, -0.14373317, -0.33660588, 0.1179107, 0.099795595, -0.09572639, -0.13989054, 0.23899162, -0.34190562, -0.15683329, 0.24934354, -0.14163738, 0.041735463, 0.121980265, -0.09860039, 0.11812202, 0.14087583, -0.0028377555, 0.26766914, 0.0857499, -0.41909057, -0.17031851, -0.25730318, -0.058542546, -0.13754457, 0.19038518, -0.20230561, 0.45902902, -0.2686867, -0.3950858, 0.30160332, 0.00049326767, -0.19901986, -0.32481667, -0.2202732]"
http://example.org/maize-kg#Boron_Deficiency,"[0.3344067, -0.14167258, 0.10992193, 0.10331669, 0.32375005, 0.19603395, 0.11547258, 0.24665979, -0.45799506, -0.2926251, 0.038084224, -0.23513669, -0.12639631, -0.1366175, -0.10253317, 0.08945892, -0.3774811, -0.29210457, 0.4857256, 0.26649228, -0.22936061, 0.5712645, -0.029703278, 0.37753364, -0.11603087, 0.018982986, 0.19821653, 0.14155644, -0.05815493, 0.40396336, 0.43252605, -0.33482075, 0.23579067, -0.043580234, -0.16635263, -0.13673289, 0.1717022, -0.3816783, 0.12485694, 0.10086565, -0.16576809, -0.31029612, 0.12143306, -0.26422518, 0.039046176, -0.36994532, 0.04709499, -0.08173434, 0.093935065, 0.1996322, 0.4044199, 0.082538076, 0.06030154, 0.22996093, -0.18342596, -0.06987644, 0.067024454, 0.24936493, 0.19387561, 0.16404866, -0.19265234, -0.06604219, -0.15343718, -0.19223472]"
http://example.org/maize-kg#Foot_and_Collar_Rot,"[0.05978819, -0.30216825, -0.14758638, -0.12343445, 0.15922093, -0.06417968, -0.13510339, -0.018633723, -0.24951257, -0.16595514, 0.3882985, -0.07075545, -0.1623283, 0.23590031, 0.071899705, 0.10695507, 0.06754896, 0.3810213, 0.38091528, 0.15149432, 0.22088549, -0.17811982, 0.0038441527, 0.26118577, 0.039420404, 0.22218195, -0.16669667, -0.27922297, 0.032529023, 0.22979967, -0.040806152, 0.07558782, -0.16529997, -0.27664244, -0.28614435, -0.20578474, 0.23278087, 0.20765096, 0.26782113, -0.075203605, 0.0945846, 0.13628317, -0.24574699, -0.050727867, 0.14644971, -0.60352576, 0.16794603, 0.010699177, 0.07465196, 0.19559975, -0.027289122, -0.17197977, 0.271965, 0.35969672, 0.0340945, 0.12760885, -0.037781682, -0.38456535, 0.09155388, -0.07639093, -0.28035796, 0.21069497, -0.3688852, 0.0352186]"
http://example.org/maize-kg#Cucumber_Beetle,"[0.26629943, 0.060000088, 0.14552565, 0.23126045, -0.113525726, -0.2817235, 0.2060212, -0.05450435, 0.05891116, -0.115920305, -0.056012508, 0.15816088, -0.008136654, 0.061044876, 0.26218492, 0.39201546, -0.14955059, -0.1770537, 0.2942706, 0.08862488, -0.019070027, -0.24987501, 0.08915364, -0.21573208, -0.022148332, -0.13194616, -0.084579475, -0.0262181, 0.00016093621, 0.26235053, 0.31760746, -0.085764475, 0.015153273, 0.018493462, -0.0960066, -0.40509868, 0.16994712, 0.40699115, -0.10445862, -0.20732284, 0.2459035, -0.19673023, 0.002179676, -0.06550043, 0.25498113, -0.26865077, 0.16934018, -0.09851644, 0.2574111, -0.26829657, -0.16545025, -0.3075061, 0.009729543, 0.002640406, 0.116302975, -0.0051863682, 0.13164455, 0.2207568, -0.32797918, 0.44874543, -0.24882612, -0.38923836, -0.4179043, -0.3234559]"
