,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Iron_Deficiency,0.12035218,-0.5078697,-0.1583427,0.30420634,0.35316104,-0.0008437537,-0.036852892,-0.19265433,-0.1867572,0.1060727,0.029452672,0.17276022,-0.4447136,-0.06157745,0.28434628,0.5332912,-0.5239921,-0.13566352,-0.13384934,0.28097668,0.3261615,0.40673992,0.29914734,0.1039371,0.243943,0.20300676,0.041305926,0.19328682,0.03823668,-0.19281141,0.0031672427,-0.36541194,0.3832939,0.402867,-0.25577655,-0.5606673,0.46978036,0.4999951,-0.12521157,-0.20145416,-0.14017375,0.2780104,0.3474153,-0.31002387,-0.3839156,-0.40296146,0.049887642,0.08867353,0.2650127,0.08430025,0.32968727,0.12228996,0.09547315,0.50587523,0.07969205,0.046019554,0.6564194,-0.26014778,-0.43465266,0.041128576,-0.10082726,-0.07040556,-0.25294188,-0.5822692
tanaman_kerdil,0.47423604,-0.07803017,0.18554737,0.17047863,0.2823914,-0.15498152,0.117825076,-0.14752088,-0.30036867,0.014569452,-0.05605862,-0.011188474,-0.001041486,0.07592985,0.1190123,0.41874543,-0.22989367,-0.13534187,-0.2092697,0.35883227,0.07503367,0.6514704,0.3038724,-0.38273627,0.40786436,0.236908,-0.1243973,0.04984626,0.17556271,-0.15689781,0.056799285,-0.13587514,-0.044112366,-0.049393285,-0.31851244,-0.51705325,0.36018553,-0.051613834,0.00729038,0.029427445,-0.1892118,0.18959294,0.45709133,-0.4010176,-0.1733874,-0.28079572,-0.038661867,0.03223288,0.41479653,0.1282674,0.064798005,-0.06370703,0.016230365,0.22332989,0.33113754,0.06669162,0.18940341,0.0540782,-0.26638713,-0.13002673,-0.17548965,0.086417556,-0.02252384,-0.054716196
Stunt_of_Maize,0.48815787,0.05453403,0.3717959,0.32777876,0.099519804,-0.040898215,0.5360916,0.06461731,-0.23049065,-0.13123798,0.08716392,0.046384513,-0.31018037,0.14413948,-0.1808285,0.86437124,-0.3714828,-0.058620654,-0.20212387,0.37958634,-0.069585524,0.24787143,0.14292315,-0.298511,0.17435221,0.27220342,0.2566205,0.44190112,0.11004799,-0.059632406,0.09417733,0.07656326,-0.06866775,-0.09259632,-0.057271026,-0.36825287,0.21220721,0.077299885,-0.17521976,0.21703494,0.3191147,0.37523052,0.15959428,-0.6847493,0.18163809,-0.010995297,-0.23883033,-0.039432783,0.0044607255,0.25012928,-0.049674515,0.4489496,0.34542453,0.2682614,0.5980455,-0.1173391,0.14454699,0.037304364,-0.23505096,0.08579092,-0.2782184,0.099505514,-0.16778836,-0.08186468
batang,0.22630864,-0.14977254,0.36719963,0.3918641,0.1510092,-0.4426851,0.12453471,0.07342163,-0.494299,-0.030747367,0.14641047,0.04433201,-0.38068306,0.11817544,0.029437229,0.53351367,-0.25538823,-0.003560208,-0.13456969,0.2890529,0.15660712,0.5244941,-0.005462799,-0.23173256,-0.037586417,0.13782579,-0.036825825,-0.13591272,0.21440229,-0.24582282,-0.016380277,0.07065915,-0.18571694,0.014788013,-0.29532087,-0.27976194,0.34683365,0.18232885,0.058862623,-0.09278592,-0.25977373,0.071332864,0.04434683,-0.49583033,0.17216906,-0.13091592,-0.10097441,-0.034645207,0.27188808,0.24546471,0.07523137,-0.09769712,0.075830884,0.09449923,0.26521516,0.2977267,0.16315311,-0.015971987,-0.29462856,-0.074725784,-0.38868475,-0.07652404,-0.13856916,0.1645849
Stalk_Rot_of_Maize,0.58628327,-0.4461953,0.1001827,0.13890272,0.2592094,0.03268257,0.16420989,0.032171607,-0.55115,-0.018815761,0.1316908,-0.04171268,-0.27878845,0.026877897,-0.30442613,0.67723864,0.19052716,-0.0020132852,-0.015532702,0.26004758,0.32353613,0.6354979,0.058024835,-0.34210825,0.021391967,0.3689506,-0.015281563,-0.0857424,-0.17649259,-0.33858413,-0.03773434,0.11389674,-0.31475806,-0.15651616,-0.2721534,-0.10840183,-0.009086297,0.067455694,0.16088869,-0.046632096,0.049216747,0.08373127,0.017383432,-0.5397164,-0.1723213,0.10008945,-0.28641415,-0.08920931,0.1625468,0.47755423,0.13562411,-0.32408905,0.011555846,0.73116076,0.17249909,-0.04578959,0.32876363,-0.04695377,-0.067288004,-0.08268504,-0.03575367,0.072215855,-0.017231425,-0.28202084
carbendazim,0.7495963,-0.5733842,-0.20575424,0.09704715,0.13842684,-0.18008095,0.16244692,0.14580111,-0.3398427,-0.21177928,0.15753353,-0.012336133,-0.3735803,0.38969243,-0.56564623,0.59806913,0.14922802,-0.1770874,0.0059162364,0.082724616,0.08791835,0.7723258,0.036022156,-0.19446784,0.25883365,0.36763284,0.10595112,-0.28187728,-0.10214457,-0.14735064,0.20961604,0.19171062,-0.10111243,-0.4527789,-0.23245887,-0.36551046,0.47630423,-0.021387529,0.08134736,0.11351809,0.18410689,0.15725636,-0.10941273,-0.41932398,-0.10679114,-0.15208481,-0.3800104,-0.24533305,0.06383906,0.40067634,0.2832947,-0.38827354,-0.15745212,0.5523437,-0.062887736,0.0021757598,0.28484043,-0.17971948,-0.22050293,0.086710855,-0.21715255,-0.008236852,0.04447163,-0.09404365
Cucumber_Beetle,0.22901398,-0.06322883,0.29400578,0.036154304,0.24158351,-0.05072941,0.008813711,0.08197656,0.028192002,0.03275354,0.0875608,-0.0716508,-0.6536138,-0.14160755,-0.3787801,0.43391335,-0.076545425,0.2515114,-0.015781894,0.49404913,0.025479475,0.03505572,0.56193405,-0.4341103,-0.13526358,0.61187005,-0.034416314,-0.17871372,0.06671382,-0.053935997,0.10135246,-0.08206942,-0.03975248,0.025823303,-0.3489424,-0.4242712,0.41318858,0.1687435,0.10258973,-0.15116024,-0.09416885,0.2820941,-0.1900208,-0.59686154,0.39592734,-0.12641874,0.12000728,0.17601544,0.06208858,0.047001954,-0.17987882,-0.23967308,0.11938442,0.46324858,0.6457314,0.30389214,0.22727813,0.10930569,-0.32497317,-0.37420088,-0.1427822,-0.27501324,-0.23886175,0.19987468
busuk,0.3163393,-0.3186296,0.31084296,0.13243365,0.2834752,-0.16467735,0.19061102,0.23299061,-0.32029852,-0.07045079,0.36984843,0.29540765,-0.2524948,0.1323231,0.1297521,0.3775547,-0.040330287,-0.12295804,0.13177757,0.27652258,0.2514264,0.2239052,0.12355222,-0.22422267,0.029196097,0.38498756,-0.15646973,-0.19654459,-0.12568621,-0.17628635,0.13898082,0.08534037,-0.016386444,-0.21814215,0.058620665,-0.42108974,0.3591425,0.0005967677,0.48388642,-0.11352972,-0.33323154,-0.016505959,-0.021495977,-0.4189291,0.15139186,-0.03715985,-0.33264855,0.071430914,0.10741241,0.22396672,0.13110335,-0.17583247,0.1535813,0.11030791,0.6498854,0.27308908,0.2624779,-0.01330895,-0.24459782,0.004595266,-0.28652906,0.15404178,-0.3293077,-0.074951425
na61ff444636d4a939718f3d4b2f8028ab20,0.058681305,0.25848624,-0.18307695,0.309437,0.31890774,-0.046734963,-0.09070231,-0.40396494,-0.09847339,-0.8151254,0.25456905,-0.41849536,-0.096147224,-0.5524207,-0.014351665,0.21780048,0.0008825787,-0.63614976,0.10866822,0.5638764,0.56101507,-0.061084464,-0.17377089,-0.013324418,-0.074707545,0.27173072,-0.5529019,0.43181968,0.0014203466,0.2012696,-0.36279824,-0.13815816,0.22783536,0.15282844,-0.43993878,-0.34893674,0.4297627,-0.06008091,-0.11474638,-0.12666722,0.4109111,-0.38634947,-0.11323953,0.013876593,0.3065876,-0.2687952,0.29231134,-0.36933562,0.2995928,-0.02809415,-0.4581686,-0.62190783,0.29159656,-0.06702481,0.008473945,-0.5135349,-0.1744668,-0.3967378,0.54394215,0.731411,-0.114246316,0.13883139,0.10725121,-0.14097974
nil,0.027908312,0.3896947,-0.15475182,-0.22365871,0.20801665,0.21210185,-0.38860258,-0.44271937,-0.24926238,-0.8650534,0.32072285,-0.68372166,-0.16841418,-0.3612421,-0.036885783,0.31671843,0.111636505,-0.43098754,0.15806605,0.46602553,0.39412454,0.11152192,-0.07605203,-0.2789899,-0.12654501,0.09023433,-0.5908919,0.27160534,-0.14496137,0.2937582,-0.38459638,0.073305085,0.33860523,-0.105049856,-0.18262357,-0.30294773,0.52360153,0.015587862,0.04585696,-0.08928099,0.51359636,-0.29006487,0.037211064,-0.08088437,0.35879254,-0.058487777,0.3476529,-0.266776,0.221611,-0.34327134,-0.41670954,-0.6080134,0.24843353,-0.10678061,0.095165476,-0.46632737,0.032634187,-0.4620739,-0.07601011,0.56423193,-0.09396711,0.23246911,0.28797582,-0.13927723
